year,month,date,region,district,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2019,december,12/15/2019,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,300.79,0.4063
2019,january,1/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,215.56,0.2995
2019,february,2/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,180,0.2501
2019,march,3/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,211.61,0.294
2019,august,8/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,220.62,0.3053
2019,september,9/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,237.17,0.3208
2019,october,10/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,253.89,0.3491
2019,november,11/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,280,0.3847
2019,december,12/15/2019,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,306.55,0.4141
2020,january,1/15/2020,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,342.69,0.4714
2020,january,1/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,337.31,0.464
2020,february,2/15/2020,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,307.24,0.4146
2020,february,2/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,338.62,0.4569
2020,march,3/15/2020,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,306.82,0.414
2020,march,3/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,265.45,0.3582
2020,april,4/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,"actual,aggregate",Retail,MWK,178.34,0.2446
2020,april,4/15/2020,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,170,0.2331
2020,may,5/15/2020,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,176.67,0.2427
2020,may,5/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,183.33,0.2519
2020,june,6/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,185.33,0.2519
2020,july,7/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,188.33,0.2519
2020,august,8/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,194.33,0.2519
2020,september,9/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,199.33,0.2519
2020,october,10/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,206.33,0.2519

2020,november,11/15/2020,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,214,0.2806
2020,november,11/15/2020,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,non-food,Maize (seed),KG,aggregate,Retail,MWK,1553.33,2.0366
2020,november,11/15/2020,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,non-food,Milling cost (maize),Tin (20 KG),aggregate,Retail,MWK,418.33,0.5485
2020,november,11/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,217.44,0.2851
2020,november,11/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,non-food,Maize (seed),KG,aggregate,Retail,MWK,1503.33,1.9711
2020,november,11/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,non-food,Milling cost (maize),Tin (20 KG),aggregate,Retail,MWK,423.33,0.555
2020,december,12/15/2020,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,208.82,0.2779
2020,december,12/15/2020,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,non-food,Maize (seed),KG,aggregate,Retail,MWK,1697.06,2.2588
2020,december,12/15/2020,Southern Region,Blantyre,Lirangwe,-15.5283598,35.0234066,non-food,Milling cost (maize),Tin (20 KG),aggregate,Retail,MWK,319.12,0.4247
2020,december,12/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize,KG,aggregate,Retail,MWK,200,0.2662
2020,december,12/15/2020,Southern Region,Blantyre,Lunzu,-15.6528104,35.0207804,cereals and tubers,Maize (new harvest),KG,aggregate,Retail,MWK,214.71,0.2858
